"YEAR","THEME","TOTAL_SETS","TOTAL_PIECES","MEAN_PIECES","TOTAL_PRICE","MEAN_PRICE","MEAN_VALNEW","MEAN_VALUSED","PPP"
1996,"Technic",10,4247,424.7,517.5,57.5,167.398,60.141,0.121850718153991
1996,"Time Cruisers",4,1108,221.6,134.5,33.625,107.584,36.28,0.121389891696751
1996,"Town",23,3991,173.521739130435,404,19.2380952380952,131.416818181818,48.1047826086957,0.101227762465547
1996,"Trains",4,2490,622.5,367,91.75,440.9725,158.53,0.147389558232932
1996,"Western",6,1555,259.166666666667,212,35.3333333333333,329.471666666667,99.11,0.136334405144695
1997,"Aquazone",3,533,177.666666666667,80,26.6666666666667,95.29,33.7333333333333,0.150093808630394
1997,"Basic",27,2416,73.2121212121212,2,2,9.98448275862069,1.48,0.000827814569536424
1997,"Belville",6,276,46,0,NA,27.7275,25.2983333333333,0
1997,"Castle",11,1375,105.769230769231,163.25,27.2083333333333,135.386666666667,51.3818181818182,0.118727272727273
1997,"Dacta",9,4067,451.888888888889,375.75,62.625,116.348,83.714,0.0923899680354069
1997,"Duplo",31,1311,40.96875,289.75,24.1458333333333,40.974,38.827,0.221014492753623
1997,"Education",1,238,238,0,NA,215.2,151.89,0
1997,"Freestyle",10,2348,195.666666666667,97,12.125,31.9942857142857,11.81,0.0413117546848382
1997,"Model Team",1,761,761,88,88,325,185.37,0.115637319316689
1997,"Pirates",4,741,185.25,134,33.5,677.785,289.775,0.180836707152497
1997,"Primo",16,215,13.4375,157,12.0769230769231,50.06,10.2585714285714,0.730232558139535
1997,"Scala",10,783,78.3,141,35.25,88.24,69.876,0.18007662835249
1997,"Service Packs",10,169,16.9,37.5,4.16666666666667,15.7733333333333,17.265,0.22189349112426
1997,"Space",15,2516,148,325,25,138.803125,34.698,0.129173290937997
1997,"Technic",14,4456,318.285714285714,538.5,41.4230769230769,129.740714285714,38.2778571428571,0.12084829443447
1997,"Time Cruisers",3,608,152,80.5,20.125,69.1075,32.81,0.132401315789474
